                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.42521,                 1.0226,                 1.0003,                0.86945,                0.87566,                0.92532,                0.87111,                0.33802,                0.48817,                0.93954,               0.005446,               0.005446,               0.005446
                     48,                 0.4218,                0.99702,                0.99531,                0.87685,                0.87404,                0.92535,                0.87113,                0.33936,                0.48472,                0.94226,               0.005347,               0.005347,               0.005347
                     49,                0.42152,                 0.9999,                 0.9977,                0.87925,                0.88221,                0.92614,                0.87117,                0.33988,                0.47945,                0.94183,               0.005248,               0.005248,               0.005248
                     50,                0.42625,                 1.0045,                 1.0006,                0.88251,                  0.878,                0.92939,                0.87551,                0.33813,                0.47349,                0.94075,               0.005149,               0.005149,               0.005149
                     51,                0.41551,                0.96917,                0.99309,                0.88301,                0.87779,                0.92852,                0.87509,                0.33484,                0.46837,                0.93657,                0.00505,                0.00505,                0.00505
                     52,                0.41712,                0.98104,                0.99596,                0.86997,                0.89339,                0.92907,                0.87588,                0.33492,                0.46542,                0.93684,               0.004951,               0.004951,               0.004951
                     53,                0.41646,                0.95963,                0.99299,                0.88855,                0.88166,                0.93014,                0.87592,                0.33411,                0.45622,                0.93648,               0.004852,               0.004852,               0.004852
                     54,                0.41587,                0.95344,                0.99623,                0.88709,                0.88106,                0.93112,                0.87674,                0.33906,                0.45894,                0.93992,               0.004753,               0.004753,               0.004753
                     55,                0.41517,                0.94287,                0.99168,                0.88256,                0.89593,                0.93443,                0.88113,                 0.3343,                0.44381,                0.93592,               0.004654,               0.004654,               0.004654
                     56,                0.41157,                0.91517,                0.99392,                0.89338,                0.88578,                 0.9344,                0.88142,                0.33499,                0.44334,                0.93745,               0.004555,               0.004555,               0.004555
                     57,                0.41088,                0.89572,                0.99322,                0.89011,                0.89004,                0.93493,                0.88081,                0.33446,                0.44092,                0.93873,               0.004456,               0.004456,               0.004456
                     58,                0.40971,                0.90919,                0.99239,                0.89217,                 0.8915,                0.93568,                0.88185,                0.33553,                0.43241,                0.93756,               0.004357,               0.004357,               0.004357
                     59,                0.40778,                0.89082,                0.98859,                0.89743,                0.89395,                0.93683,                0.88432,                0.33295,                0.42744,                  0.935,               0.004258,               0.004258,               0.004258
                     60,                0.40689,                0.88635,                0.98976,                0.89532,                0.89259,                0.93741,                0.88495,                0.33192,                0.43038,                 0.9337,               0.004159,               0.004159,               0.004159
                     61,                0.40675,                0.88866,                0.98929,                 0.8915,                0.90436,                0.93726,                0.88601,                0.33233,                0.42289,                0.93299,                0.00406,                0.00406,                0.00406
                     62,                0.40383,                0.86463,                0.98535,                0.90551,                0.89579,                0.94004,                0.88823,                0.33032,                0.41389,                0.93265,               0.003961,               0.003961,               0.003961
                     63,                0.40757,                0.85454,                0.98702,                0.89888,                0.90206,                0.94082,                0.88868,                0.33062,                0.41423,                0.93264,               0.003862,               0.003862,               0.003862
                     64,                0.40216,                0.84852,                0.98749,                0.89957,                0.90858,                0.94172,                   0.89,                0.32987,                0.40846,                0.93228,               0.003763,               0.003763,               0.003763
                     65,                0.39887,                0.84739,                 0.9851,                0.89833,                0.91042,                0.94258,                0.89008,                0.33096,                0.40744,                0.93234,               0.003664,               0.003664,               0.003664
                     66,                0.39866,                0.83638,                0.98439,                0.91098,                0.90022,                0.94254,                0.89079,                0.33014,                0.40224,                0.93163,               0.003565,               0.003565,               0.003565
                     67,                0.39532,                0.81033,                 0.9816,                0.90274,                0.90401,                0.94311,                0.89105,                0.32835,                 0.3998,                0.93085,               0.003466,               0.003466,               0.003466
                     68,                0.39923,                0.81976,                0.98653,                0.91618,                0.89404,                0.94275,                 0.8909,                0.32936,                0.40258,                0.93122,               0.003367,               0.003367,               0.003367
                     69,                0.39492,                0.79866,                0.97999,                0.90545,                0.90658,                0.94427,                0.89255,                0.32873,                0.40004,                0.92974,               0.003268,               0.003268,               0.003268
                     70,                0.39021,                0.78688,                0.97703,                0.90754,                0.90613,                0.94451,                0.89321,                0.32859,                0.39559,                0.92992,               0.003169,               0.003169,               0.003169
                     71,                0.39296,                0.79884,                0.98141,                0.91208,                0.90479,                 0.9445,                0.89323,                 0.3283,                0.39119,                0.93022,                0.00307,                0.00307,                0.00307
                     72,                0.39118,                0.78554,                0.98066,                0.91034,                0.91056,                0.94515,                 0.8941,                0.32822,                0.38831,                0.92939,               0.002971,               0.002971,               0.002971
                     73,                0.38884,                0.76763,                0.97878,                0.91293,                0.90488,                0.94571,                0.89442,                0.32761,                 0.3869,                 0.9287,               0.002872,               0.002872,               0.002872
                     74,                0.38393,                0.74971,                0.97505,                 0.9136,                0.90848,                0.94587,                0.89422,                0.32823,                0.38386,                0.92932,               0.002773,               0.002773,               0.002773
                     75,                0.38808,                0.76181,                0.98038,                0.91706,                0.90481,                0.94645,                0.89495,                0.32916,                0.38518,                0.92971,               0.002674,               0.002674,               0.002674
